fixture,vm_exit,interpreter_exit,vm_matches_snapshot,interpreter_matches_snapshot,delta_type,mismatch_bucket,bucket_owner,priority,rationale
tests/test_self_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_simple_random.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_standalone_dunder.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_stdlib_datetime.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_stdlib_paths.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_stdlib_random.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_stdlib_system.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_def_only.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_empty_method.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_instantiate.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_method_debug.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_method_print.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_nomethod.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_only.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_parse.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_return.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_simple.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_struct_simple_debug.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_tiny.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_trans_debug.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_trans_minimal.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_trans_newvar.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_trans_nostr.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_trans_vars.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_transaction_simple.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_transactions_working.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_try_except.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_unary_current.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_unary_lit.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_unary_mixed.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_unary_ops.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_unary_overload.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_undefined_var.kujo,4,4,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/test_vec_add.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_verifier.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_vm_optimizations.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/test_void_method.kujo,0,0,yes,yes,both_match_snapshot,none,n/a,P4,snapshot matches in both runtimes
tests/testing_framework.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_adder.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_debug.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_detailed.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_multiple.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_order.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_closure_simple.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
tests/vm_native_functions_test.kujo,0,0,yes,no,interpreter_only_mismatch,intentional-divergence,runtime-owner,P2,default VM output matches the release snapshot; legacy interpreter-only drift is documented post-v1 compatibility debt
